exp_name,model_name,cv_score,best_iteration,train_time_sec,num_samples,num_features,timestamp
20260421-210757_lgbm_CVScore0.7976_exp_20260421-2107_max_depth6_learning_rate0.03927975767245621,lgbm,0.7975803082960264,0.0,1896.2411904335024,300000,116,2026-04-21 21:07:57
20260421-224523_xgb_CVScore0.7921_exp_20260421-2245_learning_rate0.011745739208656958_max_depth3,xgb,0.792131017677611,,462.1302704811096,30000,116,2026-04-21 22:45:23
20260421-231556_xgboost_genetic_CVScore0.7879_exp_20260421-2315_learning_rate0.032659700484495666_max_depth3,xgboost_genetic,0.7879023926520302,,0.8062713146209717,15000,116,2026-04-21 23:15:56
20260422-014342_adaboost_CVScore0.7883_exp_20260422-0143_learning_rate0.3577789555578892_max_depth1,adaboost,0.7883311113090958,,3061.86230969429,15000,116,2026-04-22 01:43:42
20260422-130454_histgb_CVScore0.7857_exp_20260422-1304_max_depth3_learning_rate0.0030582523213789677,histgb,0.7857412989371462,,4068.698227643967,15000,116,2026-04-22 13:04:54
20260422-191003_bagging_CVScore0.7725_exp_20260422-1910_max_depth13,bagging,0.7724821068574554,,3738.094349145889,15000,116,2026-04-22 19:10:04
20260422-233623_catboost_CVScore0.7901_exp_20260422-2336_learning_rate0.04780411084196217,catboost,0.7901215978411336,,432.3381967544556,15000,116,2026-04-22 23:36:23
20260422-234556_catboost_CVScore0.7901_exp_20260422-2345_learning_rate0.04780411084196217,catboost,0.7901215978411336,,438.9771327972412,15000,116,2026-04-22 23:45:56
20260422-234947_catboost_CVScore0.7901_exp_20260422-2349_learning_rate0.04780411084196217,catboost,0.7901215978411336,,438.9771327972412,15000,116,2026-04-22 23:49:47
20260423-002438_catboost_CVScore0.7901_exp_20260423-0024_learning_rate0.04780411084196217,catboost,0.7901215978411336,,439.7769401073456,15000,116,2026-04-23 00:24:38
20260423-101151_catboost_CVScore0.7901_exp_20260423-1011_learning_rate0.04780411084196217,catboost,0.7901215978411336,,482.31114196777344,15000,116,2026-04-23 10:11:51
20260423-104213_catboost_CVScore0.7901_exp_20260423-1042_learning_rate0.03915857791695998,catboost,0.7900861573779299,,543.7649641036987,15000,105,2026-04-23 10:42:13
20260423-110638_catboost_CVScore0.7903_exp_20260423-1106_learning_rate0.04800344751801986,catboost,0.7903492918271151,,977.8800721168518,15000,106,2026-04-23 11:06:38
20260423-113112_catboost_CVScore0.7900_exp_20260423-1131_learning_rate0.04672405919136995,catboost,0.7899774286325785,,1170.1840596199036,15000,107,2026-04-23 11:31:12
20260423-115345_tabpfn_CVScore0.7937_exp_20260423-1153_,tabpfn,0.793703251244875,,2.1219253540039062e-05,15000,116,2026-04-23 11:53:46
20260423-120035_catboost_CVScore0.7900_exp_20260423-1200_learning_rate0.04672405919136995,catboost,0.7899774286325785,,1086.6481456756592,15000,107,2026-04-23 12:00:35
20260502-170445_catboost_CVScore0.7704_exp_20260502-1704_learning_rate0.047871639821920706,catboost,0.7704322031281821,,3681.011808872223,80024,131,2026-05-02 17:04:45
20260505-172920_catboost_CVScore0.7704_exp_20260505-1729_learning_rate0.047871639821920706,catboost,0.7704322031281821,,3602.682517290116,80024,131,2026-05-05 17:29:20
20260505-203430_catboost_CVScore0.7705_exp_20260505-2034_learning_rate0.04695607338782248,catboost,0.7705207865522876,,9452.54819893837,80024,131,2026-05-05 20:34:30
20260507-213203_catboost_CVScore0.7684_exp_20260507-2132_learning_rate0.033387997526695495,catboost,0.768431052059962,,6599.350461244583,80024,132,2026-05-07 21:32:03
20260508-011835_catboost_CVScore0.7689_exp_20260508-0118_learning_rate0.04876242114320045,catboost,0.7689438535017079,,6108.740464925766,80024,147,2026-05-08 01:18:35
20260508-113226_lgbm_CVScore0.7505_exp_20260508-1132_max_depth9_learning_rate0.012502233538421116,lgbm,0.7504970411742957,0.0,201.18033909797668,80024,168,2026-05-08 11:32:26
20260508-113336_lgbm_CVScore0.7505_exp_20260508-1133_max_depth9_learning_rate0.012502233538421116,lgbm,0.7504970411742957,0.0,201.18033909797668,80024,168,2026-05-08 11:33:36
20260508-121014_lgbm_CVScore0.7508_exp_20260508-1210_max_depth7_learning_rate0.017986951286334388,lgbm,0.7507775083888246,0.0,189.31953811645508,80024,155,2026-05-08 12:10:14
20260508-143425_catboost_CVScore0.7705_exp_20260508-1434_learning_rate0.04530259413850618,catboost,0.7705186200094714,,8423.747119426727,80024,131,2026-05-08 14:34:25
20260508-154114_lgbm_CVScore0.7519_exp_20260508-1541_max_depth7_learning_rate0.04962060331129539,lgbm,0.7519257803767816,0.0,245.42412853240967,80024,171,2026-05-08 15:41:14
20260508-201604_histgb_CVScore0.7538_exp_20260508-2016_max_depth8_learning_rate0.018441873181296975,histgb,0.7537702827537677,,9517.469489574432,80024,171,2026-05-08 20:16:04
20260508-222937_extratrees_CVScore0.7561_exp_20260508-2229_max_depth15,extratrees,0.7560784291592129,,3037.090817451477,80024,171,2026-05-08 22:29:39
20260508-223806_extratrees_CVScore0.7561_exp_20260508-2238_max_depth15,extratrees,0.7560784291592129,,3037.090817451477,80024,171,2026-05-08 22:38:07
20260508-223839_extratrees_CVScore0.7561_exp_20260508-2238_max_depth15,extratrees,0.7560784291592129,,3037.090817451477,80024,171,2026-05-08 22:38:39
20260508-233655_bagging_CVScore0.7508_exp_20260508-2336_max_depth15,bagging,0.7507855246831509,,3144.432373046875,80024,171,2026-05-08 23:36:56
20260509-104356_xgb_CVScore0.7519_exp_20260509-1043_learning_rate0.011926324174062874_max_depth12,xgb,0.7518573444263762,,2403.8898146152496,80024,171,2026-05-09 10:43:56
20260509-230828_lightgbm_CVScore0.7567_exp_20260509-2308_learning_rate0.01960548772346694,lightgbm,0.7566926481272148,,0.0,80024,147,2026-05-09 23:08:28
20260509-230832_ridge_CVScore0.5114_exp_20260509-2308_,ridge,0.5114389588535806,,0.0,80024,147,2026-05-09 23:08:32
20260509-230837_svm_CVScore0.6726_exp_20260509-2308_,svm,0.6726179733321951,,0.0,80024,147,2026-05-09 23:08:40
20260509-230858_lda_CVScore0.7256_exp_20260509-2308_,lda,0.7255730418841774,,0.0,80024,147,2026-05-09 23:08:58
20260509-230900_sgd_CVScore0.7334_exp_20260509-2309_learning_rateadaptive,sgd,0.7334077837186187,,0.0,80024,147,2026-05-09 23:09:00
20260509-230903_knn_CVScore0.6757_exp_20260509-2309_,knn,0.6757250343478444,,0.0,80024,147,2026-05-09 23:09:04
20260509-230923_logistic_saga_CVScore0.7334_exp_20260509-2309_,logistic_saga,0.7334162108524684,,0.0,80024,147,2026-05-09 23:09:23
20260509-230927_logistic_lbfgs_CVScore0.7331_exp_20260509-2309_,logistic_lbfgs,0.733061548989094,,0.0,80024,147,2026-05-09 23:09:27
20260509-230930_GaussianNB_CVScore0.6575_exp_20260509-2309_,GaussianNB,0.6575111310599578,,0.0,80024,147,2026-05-09 23:09:30
20260509-230936_mlp_CVScore0.7188_exp_20260509-2309_learning_rateconstant,mlp,0.7188168379904329,,0.0,80024,147,2026-05-09 23:09:36
20260512-013609_lgbm_CVScore0.7497_exp_20260512-0136_max_depth6_learning_rate0.03927975767245621,lgbm,0.7496951617559594,0.0,145.93871235847473,80024,171,2026-05-12 01:36:09
20260512-014544_lgbm_CVScore0.7514_exp_20260512-0145_max_depth8_learning_rate0.03180952975047461,lgbm,0.7513579039047029,0.0,264.6547720432281,80024,171,2026-05-12 01:45:44
